sensor_feature,survey_item,correlation,p_value,p_adjusted,effect_size,n_samples,ci_lower,ci_upper,method,interpretation,significant,meaningful
location_entropy_mean,total_score,-0.292,0.048969302322979726,0.4258200201998237,0.292,46,-0.5368,-0.0018,spearman,small,false,0.0
location_entropy_mean,Q1_score,-0.1244,0.4102261830688012,0.7668290074742448,0.1244,46,-0.4002,0.1721,spearman,small,false,0.0
location_entropy_mean,Q2_score,-0.3347,0.0229912268091519,0.3787178005233658,0.3347,46,-0.5696,-0.0492,spearman,medium,false,1.0
location_entropy_mean,Q3_score,-0.1239,0.41185673512357557,0.7668290074742448,0.1239,46,-0.3999,0.1726,spearman,small,false,0.0
location_entropy_mean,Q4_score,-0.1331,0.37778860585461116,0.7668290074742448,0.1331,46,-0.4077,0.1635,spearman,small,false,0.0
location_entropy_mean,Q5_score,-0.0459,0.7620592436488941,0.9408138810480173,0.0459,46,-0.3318,0.2477,spearman,negligible,false,0.0
location_entropy_mean,Q6_score,-0.207,0.16756522765686982,0.5953541125090054,0.207,46,-0.4691,0.0887,spearman,small,false,0.0
location_entropy_mean,Q7_score,-0.2028,0.17645558732313038,0.5981545332987471,0.2028,46,-0.4657,0.093,spearman,small,false,0.0
location_entropy_mean,Q8_score,-0.3132,0.03408460204710292,0.3787178005233658,0.3132,46,-0.5532,-0.0251,spearman,medium,false,1.0
location_entropy_mean,Q9_score,-0.1035,0.4937157356965213,0.7933393421713273,0.1035,46,-0.3823,0.1926,spearman,small,false,0.0
location_entropy_std,total_score,-0.2125,0.15625432558815652,0.5953541125090054,0.2125,46,-0.4736,0.0829,spearman,small,false,0.0
location_entropy_std,Q1_score,-0.1888,0.20884883693453202,0.6181811951345594,0.1888,46,-0.4542,0.1074,spearman,small,false,0.0
location_entropy_std,Q2_score,-0.2185,0.144692815559403,0.5953541125090054,0.2185,46,-0.4784,0.0767,spearman,small,false,0.0
location_entropy_std,Q3_score,-0.2321,0.12069560146541972,0.5953541125090054,0.2321,46,-0.4894,0.0624,spearman,small,false,0.0
location_entropy_std,Q4_score,-0.1507,0.3175900013372918,0.6855217214973214,0.1507,46,-0.4225,0.146,spearman,small,false,0.0
location_entropy_std,Q5_score,-0.0632,0.6764597966274009,0.9315454599126497,0.0632,46,-0.3471,0.2313,spearman,negligible,false,0.0
location_entropy_std,Q6_score,-0.1014,0.5024721075705697,0.7975747739215392,0.1014,46,-0.3805,0.1946,spearman,small,false,0.0
location_entropy_std,Q7_score,-0.1124,0.45720354055775114,0.7920804676674179,0.1124,46,-0.3899,0.1839,spearman,small,false,0.0
location_entropy_std,Q8_score,-0.2084,0.16464156261940344,0.5953541125090054,0.2084,46,-0.4702,0.0872,spearman,small,false,0.0
location_entropy_std,Q9_score,0.1691,0.26121052443801235,0.6449642578716354,0.1691,46,-0.1274,0.4379,spearman,small,false,0.0
home_stay_ratio_mean,total_score,0.3955,0.0065253802267762236,0.3787178005233658,0.3955,46,0.1188,0.6151,spearman,medium,false,1.0
home_stay_ratio_mean,Q1_score,0.2078,0.16586845597204802,0.5953541125090054,0.2078,46,-0.0878,0.4697,spearman,small,false,0.0
