Variable,N,Mean,SD,Min,Max
extraversion,800,3.003125,1.0212033611166509,1.0,5.0
agreeableness,800,3.52625,0.837518796605984,1.0,5.0
conscientiousness,800,3.516875,0.8604232357135032,1.0,5.0
neuroticism,800,3.220625,1.0039407256410864,1.0,5.0
openness,800,3.584375,0.853143115687401,1.0,5.0
bdi2_total,786,12.973282442748092,9.819935457861096,0.0,46.0
stai_state,800,44.09625,11.61014557565321,20.0,77.0
pss_10,801,19.21972534332085,6.509927835580777,0.0,39.0
cesd_total,802,8.552369077306734,5.149973091666139,0.0,25.0
ucla_loneliness,800,22.24,5.458217673858292,10.0,40.0
activity_pc1,674,-4.2168708353715146e-17,1.4132597402778602,-3.3180053129877356,4.863531174620335
sleep_pc1,669,-2.1241935299255612e-17,1.1965343597626281,-10.564558121000875,3.2256564095623896
communication_pc1,702,5.566930265926711e-17,1.9035495904139277,-1.3364464869036305,17.093504021519696
digital_pc1,705,2.0157240730782985e-17,1.2243030915365258,-3.783824850212155,9.865922371056438
mobility_pc1,638,4.4548133903454555e-17,1.4716079896028686,-2.2948135095792326,4.709063241228638
