,count,mean,std,min,25%,50%,75%,max,n_valid
extraversion,719.0,3.371175243393602,0.7347765392020518,1.5,2.75,3.375,3.875,5.0,719
agreeableness,719.0,3.755215577190542,0.553017310034734,1.8888888888888888,3.4444444444444446,3.7777777777777777,4.111111111111111,5.0,719
conscientiousness,719.0,3.6543810848400557,0.585464499714363,1.8888888888888888,3.2222222222222223,3.6666666666666665,4.111111111111111,5.0,719
neuroticism,719.0,2.9996522948539637,0.5642092268252075,1.5,2.625,3.0,3.375,4.5,719
openness,719.0,3.563699582753825,0.5439238424564447,1.9,3.2,3.6,3.9,5.0,719
gpa_overall,220.0,3.651632404990653,0.2606263973781116,2.6410526315789475,3.5027472527472527,3.714387254901961,3.8443085106382977,4.0,220
cesd_total,498.0,13.228915662650602,6.366711657748696,4.0,9.0,11.0,16.0,49.0,498
loneliness_total,498.0,64.2710843373494,9.128680301841833,41.0,58.0,62.0,71.75,83.0,498
self_esteem_total,717.0,38.51324965132496,6.715395898876597,16.0,34.0,39.0,43.0,50.0,717
stai_trait_total,498.0,38.81726907630522,9.017127843117358,21.0,32.0,38.0,45.0,66.0,498
bai_total,498.0,6.971887550200803,8.154889711618274,0.0,1.0,4.0,9.0,41.0,498
nh_activity_pc1,457.0,-3.109596217768491e-17,2.0868702103211594,-5.6210547840502425,-1.3721384134540295,-0.009329356557229478,1.1670351181751608,10.080792269107082,457
nh_sleep_pc1,454.0,-2.347608157797688e-17,1.487412596768161,-12.927855088559863,-0.2872355683999929,0.1808697755632901,0.6255472489695164,1.951888757958049,454
nh_communication_pc1,527.0,2.6965568719548395e-17,1.635285889749564,-2.4069904112564977,-1.1739084848985786,-0.2842807242434177,0.8296106307755369,7.885955970239624,527
